time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_accel,pitch_accel,roll_ekf,pitch_ekf,roll_madgwick,pitch_madgwick,roll_fused,pitch_fused
1024.048,0.956,-0.264,-0.505,-0.27,0.02,-0.103,-152.4006789730257,-59.20209671470215,-153.56535333385582,-59.673777887874856,-8.80557342645174,-28.906536998333323,-81.18546338015378,-44.29015744310409
1024.104,0.956,-0.265,-0.508,0.234,-0.3,0.027,-152.45104309089703,-59.06423082333258,-153.44432306263568,-59.61625201172938,-9.005062590552381,-29.49405288491871,-81.22469282659402,-44.555152448324044
1024.16,0.957,-0.261,-0.515,-0.109,-0.003,0.08,-153.12428536342998,-58.89728155596709,-153.45594413427278,-59.52261384297807,-9.223610217599136,-30.064132752770746,-81.33977717593596,-44.79337329787441
1024.216,0.957,-0.265,-0.5,-0.018,-0.3,0.141,-152.07641028486162,-59.40372424373905,-153.29339925724744,-59.53203532264971,-9.444945887825849,-30.647686961850496,-81.36917257253664,-45.0898611422501
1024.272,0.956,-0.261,-0.505,-0.3,-0.209,0.027,-152.66864656179987,-59.26332171337025,-153.25231878654353,-59.512428699906664,-9.67808537373979,-31.22654384560271,-81.46520208014167,-45.369486272754685
1024.328,0.957,-0.263,-0.499,0.097,0.188,-0.103,-152.20834318954937,-59.48446711840547,-153.1213184069565,-59.509808295573144,-9.885551861029109,-31.78292076639188,-81.50343513399281,-45.64636453098251
1024.385,0.955,-0.26,-0.507,0.059,-0.102,0.111,-152.85031830221683,-59.17851279581061,-153.10616069775773,-59.47305478104775,-10.109020859027472,-32.36260375910865,-81.6075907783926,-45.9178292700782
1024.441,0.951,-0.26,-0.499,0.036,-0.239,-0.225,-152.4785898201591,-59.38869707474893,-153.03311613448705,-59.47882997332599,-10.321945518277175,-32.941241745132714,-81.67753082638211,-46.21003585922935
1024.497,0.952,-0.261,-0.489,-0.064,0.104,-0.057,-151.9092718105408,-59.790249313606495,-152.88165313736158,-59.53001986971598,-10.546876717309539,-33.497564212327944,-81.71426492733556,-46.51379204102196
1024.554,0.95,-0.264,-0.504,-0.033,-0.323,-0.073,-152.35402463626133,-59.082522000513364,-152.8142230157716,-59.48435785124835,-10.78132090789463,-34.086211180581074,-81.79777196183312,-46.78528451591471
1024.61,0.959,-0.263,-0.496,-0.064,0.219,-0.004,-152.06558938201485,-59.65463567177578,-152.70904346058265,-59.50663134428684,-11.012562238873798,-34.632871406085656,-81.86080284972823,-47.06975137518624
1024.666,0.959,-0.265,-0.492,-0.094,-0.125,-0.248,-151.69230013276558,-59.769800111147305,-152.5573100812314,-59.56108846068184,-11.24249227843448,-35.19917261660208,-81.89990117983294,-47.38013053864196
1024.722,0.953,-0.26,-0.506,0.013,0.043,-0.095,-152.8043603594678,-59.1650525474006,-152.59215403180775,-59.50552576655772,-11.471924348894762,-35.75423586233148,-82.03203919035126,-47.6298808144446
1024.778,0.956,-0.263,-0.497,-0.086,-1.995,-0.111,-152.11332360271734,-59.5369426593461,-152.51912487161053,-59.61046944580683,-11.727117790479511,-36.41892034708278,-82.12312133104501,-48.01469489644481
1024.834,0.961,-0.26,-0.511,-0.041,0.402,-0.073,-153.03272296916714,-59.179286355452284,-152.59678108807464,-59.52878199606379,-11.962133597412256,-36.9514489281113,-82.27945734274344,-48.240115462087545
1024.89,0.958,-0.263,-0.496,0.066,-0.278,0.21,-152.06558938201485,-59.62856675744787,-152.5086286972725,-59.55974070497112,-12.213996339638298,-37.51536424065873,-82.3613125184554,-48.53755247281492
1024.946,0.958,-0.265,-0.499,0.15,0.112,-0.034,-152.02892141757218,-59.4691170398964,-152.4206973209047,-59.542912660362084,-12.451958606756829,-38.0590797964194,-82.43632796383076,-48.800996228390744
1025.002,0.956,-0.281,-0.505,-0.041,-0.4,0.011,-150.90687773562433,-58.84645795299762,-152.1754006123934,-59.45415025975456,-12.721068572094262,-38.62590364084762,-82.44823459224382,-49.04002695030109
1025.059,0.958,-0.261,-0.5,-0.064,0.532,-0.195,-152.43544106570084,-59.512565614020865,-152.19911375543853,-59.43444516329961,-12.968227890089803,-39.15576967572137,-82.58367082276416,-49.29510741951049
1025.115,0.958,-0.263,-0.5,-0.01,-0.675,0.057,-152.25562983051745,-59.47135548825179,-152.190572666098,-59.46947736737871,-13.236369734931671,-39.737080752777686,-82.71347120051485,-49.603279060078194
1025.172,0.956,-0.26,-0.509,-0.209,0.509,-0.057,-152.94180483899322,-59.12622091556377,-152.30161037016293,-59.388172065903746,-13.504991540119958,-40.263863495225586,-82.90330095514145,-49.82601778056467
1025.228,0.962,-0.266,-0.508,0.188,-0.262,-0.103,-152.36245420505634,-59.20170535580057,-152.29071801363818,-59.36614281672779,-13.759442332382221,-40.82150121829853,-83.0250801730102,-50.09382201751316
1025.284,0.96,-0.258,-0.504,0.188,0.264,0.065,-152.89187712919824,-59.468345771955846,-152.3657166997627,-59.363404121356496,-14.014732457413011,-41.348108880897165,-83.19022457858784,-50.355756501126834
1025.34,0.938,-0.259,-0.496,-0.086,0.051,-0.21,-152.42745303569362,-59.18240473180048,-152.3732033421541,-59.32696951400498,-14.28320121417544,-41.88730342018929,-83.32820227816478,-50.607136467097135
1025.396,0.96,-0.253,-0.503,0.295,-0.323,0.065,-153.2984222040037,-59.60822089308341,-152.49934855172447,-59.37978487389551,-14.544518696426293,-42.44353714787269,-83.52193362407537,-50.9116610108841
1025.452,0.957,-0.265,-0.499,0.036,0.119,0.134,-152.02892141757218,-59.44292664686906,-152.42477975058748,-59.3793893186283,-14.83090008333286,-42.970721354230655,-83.62783991696017,-51.17505533642948
1025.508,0.962,-0.269,-0.489,-0.071,-0.117,0.065,-151.18470859006757,-59.879772795505126,-152.23045984963994,-59.45959786699126,-15.129032347839944,-43.508993531958865,-83.67974609873994,-51.48429569947506
1025.564,0.958,-0.262,-0.503,-0.117,0.196,0.141,-152.4861306992901,-59.374086311430574,-152.26473035838103,-59.43644294948082,-15.430407643363921,-44.029379412370105,-83.84756900087248,-51.73291118092546
1025.621,0.955,-0.257,-0.502,-0.102,0.013,0.118,-152.88972392152854,-59.43661996860505,-152.35852671746505,-59.43484078471469,-15.739842008839057,-44.56858390690502,-84.04918436315205,-52.00171234580985
1025.677,0.954,-0.256,-0.494,0.112,-0.026,-0.248,-152.6059680625825,-59.74840492732158,-152.38744887597892,-59.48456085332595,-16.017212429514128,-45.10421410106076,-84.20233065274653,-52.294387477193354
1025.733,0.96,-0.264,-0.498,0.028,-0.171,0.027,-152.07102129131908,-59.58134790279543,-152.33334233860316,-59.50926741232809,-16.325844265202917,-45.64047675363856,-84.32959330190303,-52.574872082983326
1025.79,0.948,-0.257,-0.495,0.15,0.142,-0.126,-152.56202534227762,-59.53027832581525,-152.35694621832047,-59.50782410199135,-16.622128573074967,-46.17086086093123,-84.48953739569772,-52.83934248146129
1025.846,0.951,-0.258,-0.505,0.074,-0.316,0.118,-152.9379158852027,-59.19207054423312,-152.44176848324582,-59.475106529798374,-16.94464720927879,-46.71116729981543,-84.69320784626231,-53.093136914806905
1025.902,0.953,-0.264,-0.499,-0.086,0.348,-0.225,-152.11855798960363,-59.3585965873262,-152.39586359411362,-59.440008059963624,-17.254456814643614,-47.21837550944922,-84.82516020437862,-53.329191784706424
